tag_str rootfileName total_events xsec xsec_weight Legend
WJetsToLNu_HT-2500ToInf_TuneCUETP8M1 Merged_WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 253561.0 0.03216 0.00456600186937 WJetsToLNu
WplusH_HToBB_WToLNu_M125 Merged_WplusH_HToBB_WToLNu_M125_13TeV_powheg_pythia8_0000_1.root 939802.0 1 0.0383059410386 WplusH
ZZTo2L2Q Merged_ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8_0000_1.root 9668209.0 3.22 0.0119898111429 ZZTo2L2Q
DYJetsToLL_M-50_HT-1200to2500_TuneCUETP8M1 Merged_DYJetsToLL_M-50_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 596079.0 0.1514 0.00914375443523 DYJetsToLL
WW_TuneCUETP8M1 Merged_WW_TuneCUETP8M1_13TeV-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 994012.0 118.7 4.29894206509 WW
WZ_TuneCUETP8M1 Merged_WZ_TuneCUETP8M1_13TeV-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 1000000.0 47.2 1.6992 WZ
ST_tW_top_5f_inclusiveDecays Merged_ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1_MC25ns_LegacyMC_20170328_0000_1.root 6952830.0 35.85 0.185622257412 ST
TT_TuneCUETP8M2T4 Merged_TT_TuneCUETP8M2T4_13TeV-powheg-pythia8_0002_1.root 7610882.0 831.76 3.93428251811 TT
TT_TuneCUETP8M2T4 Merged_TT_TuneCUETP8M2T4_13TeV-powheg-pythia8_0001_1.root 33058768.0 831.76 0.905761521421 TT
TTTo2L2Nu_TuneCUETP8M2_ttHtranche3 Merged_TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8_0001_1.root 29530320.0 87.31 0.106438399584 TTTo2L2Nu
TTZToQQ_TuneCUETP8M1 Merged_TTZToQQ_TuneCUETP8M1_13TeV-amcatnlo-pythia8_0000_1.root 315907.0 0.5297 0.0603633347789 TTZToQQ
DYJetsToLL_M-50_HT-400to600_TuneCUETP8M1 Merged_DYJetsToLL_M-50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 1047682.0 5.678 0.195105003236 DYJetsToLL
ZJetsToNuNu_HT-2500ToInf Merged_ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph_MC25ns_LegacyMC_20170328_0000_1.root 405030.0 0.006945 0.000617287608325 ZJetsToNuNu
WJetsToLNu_HT-800To1200_TuneCUETP8M1 Merged_WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 1378007.0 5.501 0.143711896964 WJetsToLNu
